Beneficiary Name,Father Name,DOB,Aadhaar No,Village,Block
गोविन्दी भट्ट,उमेश चन्द्र भट्ट,22-01-1999,551362363288,Dhatwalgaon,Hawalbag
Diya Bisht,,01-05-2024,,Mawalgaon,
पार्वती आर्या,रघुवीर लाल आर्या,09-01-2021,,Bhandargaon,Dwarahat
Anvi Pant,,18-06-2019,,Palna,
गंगा आर्या,पंकज लाल आर्या,01-01-2001,,Diyari,Bhaisiachhana
सरिता पाण्डे,गणेश दत्त,24-02-2013,,Munani,Syaldey
तारा मेहता,रमेश मेहता,02-01-2014,,Mala,Takula
उर्मिला नेगी,भुवन सिंह,17-04-2026,,Lingurta,Bhaisiachhana
ममता बिष्ट,नारायण बिष्ट,08-04-2022,,Selisunoli,Dwarahat
हंसी रावत,उदय सिंह,01-01-2022,894429974971,Utraura Ghurdaura,Takula
Aarohi Negi,,02-09-2013,,Kafaltana,
तुलस ीतिवारी,नवीन दत्त,01-01-2010,,Bhaisoda,Lamgara
पूजा उपाध्याय,हेम दत्त उपाध्याय,29-04-2018,366166835768,Jaspur,Syaldey
तुलसी परिहार,प्रताप सिंह,04-05-2016,353691499718,Khururi,Bhikiasain
Riya Arya,,11-05-2022,,Sirsauda,
शान्ति मेहरा,दीपक सिंह,01-01-2027,842735587774,Nirkot,Bhikiasain
सीता उप्रेती,अमित उप्रेती,10-04-2024,268948490667,Petshal,Bhaisiachhana
रधाा कनवाल,नरेन्द्र कनवाल,20-10-2011,,Bhandargaon,Dwarahat
Mansi Tamta,,18-07-2019,,Palinadoli,
गंगा नेगी,महेन्द्र,01-01-2018,527631534330,Hataula,Bhaisiachhana
राधा मठपाल,दीपक,14-11-2020,234266805762,Dadhariya,Sult
हरुली कोहली,रमेश कोहली,05-09-2022,430082433586,Kotaligunth,Dhauladevi
सरस्वती आर्य,राजेन्द्र लाल आर्य,08-02-2026,594804974007,Pandekota,Tarikhet
Mansi Pant,,03-03-2023,,Naulakot,
आनन्दी आर्या,उदय राम आर्या,31-08-2005,,Anoli,Dhauladevi
कौशल्या अधिकारी,बहादुर सिंह,01-01-2014,,Kaihargaon,Syaldey
हंसी अधिकारी,राकेश अधिकारी,30-09-2013,,Salyudi,Bhaisiachhana
गंगा बिष्ट,दिनेश सिंह,01-09-2021,,Alisupyal,Bhaisiachhana
बीना पन्त,किशन दत्त पन्त,01-01-2026,,Pokhari,Hawalbag
पदमा मठपाल,गोपाल चन्द्र मठपाल,14-07-2024,292044802424,Asgoli,Dwarahat
नेहा कोहली,हीरा कोहली,12-02-2023,,Kunsyari,Dwarahat
पार्वती,हेम सिंह जीना,18-06-2011,,Jeetap,Takula
ज्योति,दीपक लाल,01-01-2024,,Gangoda,Tarikhet
सरिता,हरि लाल,01-12-2024,582093487620,Mawalgaon,Sult
Kritika Tamta,,12-10-2024,,Lachhina,
मालती कोहली,हीरा लाल कोहली,21-02-2010,219749299924,Sated,Syaldey
Tanvi Bisht,,28-08-2014,,Bunga,
कविता जीना,राकेश,23-01-2019,,Matela,Hawalbag
Mansi Joshi,,24-08-2018,,Kurchaun,
हंसी खाती,नवीन खाती,28-03-2012,,Karakot,Tarikhet
Mansi Tamta,,11-02-2021,,Musoli,
पार्वती बिष्ट,हेम सिंह,22-01-2014,,Rankhila,Hawalbag
विमला रावत,भूपाल सिंह,17-05-2004,519544043536,Nali Malli,Bhaisiachhana
शान्ति रौतेला,प्रकाश रौतेला,27-09-2022,781444091957,Poonakot,Bhaisiachhana
सीता पन्त,महेन्द्र पन्त,31-07-2013,461289294796,Bajan,Bhikiasain
उर्मिला मेहरा,दिनेश सिंह मेहरा,16-09-1998,,Dudholi,Dwarahat
Aarohi Negi,,04-12-2019,,Sakanada,
मीना आर्य,खीम राम आर्य,22-03-2024,,Dadgaliya,Dwarahat
नीमा कोहली,आनन्द,22-10-2007,476281074478,Basar,Hawalbag
पूजा कोहली,गोविन्द राम,01-01-2023,,Sati Naugaon,Dwarahat
गोविन्दी आर्या,केशव लाल आर्या,01-01-2015,594817452732,Badgalbhatt,Hawalbag
मीना बिष्ट,बलवन्त सिंह बिष्ट,11-02-2018,,Bagwali Rautela,Tarikhet
नेहा खाती,रघुवीर,01-01-2025,,Laukot,Bhikiasain
नन्दी नेगी,सुन्दर,01-01-1999,,Kheti,Dhauladevi
Aarohi Bisht,,09-08-2011,,Ghaneli,
उमा नेगी,दीपक नेगी,01-01-2016,477822877257,Gajar,Syaldey
पूजा भण्डारी,नारायण सिंह,23-05-2023,285179309016,Talli Mirai,Dwarahat
पूजा भण्डारी,अंकित भण्डारी,16-08-2014,,Chagethi,Dhauladevi
लक्ष्मी आर्या,दिनेश राम आर्या,20-05-2025,,Kabhari,Dhauladevi
दुर्गा कनवाल,जीवन,31-08-2017,,Golne,Takula
Kritika Bisht,,08-02-2016,,Sainri,
गीता फर्त्याल,राजेन्द्र सिंह फर्त्याल,05-05-2008,,Dungra,Dhauladevi
मोहिनी भट्ट,नारायण दत्त भट्ट,09-12-2014,,Bhaisiyachhana,Bhaisiachhana
Anvi Bisht,,18-07-2010,,Mergoan,
सरस्वती,चन्द्रशेखर लाल ोकहली,26-05-2025,392582782867,Diyari,Bhaisiachhana
कविता आर्य,नारायण राम आर्य,02-07-2021,,Mehalchaura,Chaukhutia
शान्ति रावत,संजय सिंह रावत,22-11-2018,366923282620,Maharnail,Bhikiasain
सरस्वती मेहरा,मनोज मेहरा,14-11-2016,674078429808,Khalna,Dwarahat
सीता कर्नाटक,गिरीश,11-06-2021,,Champa,Hawalbag
भागीरथ रौतेला,मदन रौतेला,11-06-2020,,Papnekothar,Tarikhet
इन्द्रा नेगी,बलवन्त,01-03-2016,,Khunsalkot,Tarikhet
चम्पा आर्य,शंकर लाल,01-01-2020,,Jhorunga,Chaukhutia
मंजू बोरा,सुन्दर बोरा,12-08-2014,896275082489,Kunidhar,Sult
सरस्वती भट्ट,विनोद,10-12-2020,,Khatal Gaon,Sult
तारा लोहनी,किशन लोहनी,06-10-2006,893011895202,Maladi,Dhauladevi
बसन्ती कर्नाटक,नन्दन दत्त,27-07-2017,869326339155,Baret,Dwarahat
दुर्गा डसीला,अमित,04-04-2024,955692068597,Palithouli,Bhikiasain
बीना मनराल,धर्म सिंह मनराल,06-11-2012,,Kalyanpur,Syaldey
प्रियंका नेगी,पूरन,05-03-2002,268277549315,Kulsibi,Dwarahat
सीता रावत,विकास सिंह रावत,23-08-2022,584057241079,Chausali,Hawalbag
ज्योति मनराल,जीवन मनराल,01-01-2011,,Simoli,Tarikhet
Mansi Tamta,,25-04-2024,,Kana,
ज्योति नेगी,शिव सिंह,22-07-2003,,Mergoan,Lamgara
बीना खाती,किशन,03-11-2013,,Chagethi,Dhauladevi
सुनीता बिष्ट,रमेश,07-11-2021,711505843881,Khira,Chaukhutia
बसन्ती आर्या,नारायण राम,27-07-2012,511846175923,Saula-Ii,Tarikhet
Riya Arya,,05-09-2013,,Ajhora,
मोहिनी आर्य,बलवन्त लाल,01-01-2025,,Sainmanur,Sult
रेखा जोशी,रघुवीर दत्त,01-01-2023,,Banthok,Dhauladevi
हेमा भण्डारी,लक्ष्मण सिंह भण्डारी,23-08-2010,372237032417,Beena,Dhauladevi
विमला तिवाररी,भगवान दत्त तिवारी,01-01-2023,,Syahilaid,Sult
सरिता,कृपाल राम,02-06-2014,597595395716,Dhyuli Dhauni,Lamgara
मोहिनी डसीला,गणेश सिंह डसीला,11-08-2012,,Barangal,Syaldey
ममता रावत,दीवान रावत,01-01-2012,,Pokhari Malli,Sult
भागीरथी,बहादुर दत्त ठपाल,17-01-2017,,Bharsoli,Syaldey
राधा बिष्ट,दीवान सिंह,14-07-2026,,Kana,Dhauladevi
शान्ति बोरा,नवीन,13-02-2002,,Kumaleshwar,Syaldey
सरिता कर्नाटक,दीपक कर्नाटक,27-01-2022,493664981358,Kanauni,Chaukhutia
ममता मनराल,सुन्दर मनराल,06-06-2017,,Bhattgaon,Takula
रेखा मनराल,खीम सिंह,17-02-1994,621339407466,Seem,Bhikiasain
इन्द्रा टम्टा,त्रिलोक लाल,13-03-2018,936890468202,Naulakot,Dwarahat
चम्पा रावत,कृपाल सिंह रावत,13-10-2024,,Bablia,Syaldey
Aarohi Arya,,14-03-2019,,Palyuda,
लक्ष्मी आर्या,मदन राम,14-06-2020,,Kharaktaya,Chaukhutia
पुष्पा नेगी,कैलाश सिंह,15-05-2022,931843108391,Dhaula,Bhikiasain
मालती उपाध्याय,सुरेन्द्र,30-06-2019,,Malli Mirai,Dwarahat
हंसी रावत,धर्म राववत,06-03-2016,921629172799,Vishalkot,Tarikhet
प्रियंका काण्डपाल,भगवान काण्डपाल,11-05-2022,,Jalali,Bhikiasain
प्रियंका कार्की,कुन्दन सिंह कार्की,15-05-2021,,Malyal Gaon,Dwarahat
खष्टी परिहार,शंकर,01-01-2016,,Dotalgaon,Dwarahat
तुलसी रावत,गिरीश सिंह,09-02-2025,,Almiyakandey,Tarikhet
नेहा बोरा,सुन्दर बोरा,06-09-2025,,Karakot,Tarikhet
Mansi Negi,,18-02-2018,,Kol,
Mansi Pant,,04-08-2021,,Gurna,
जानकी बिष्ट,हीरा सिंह,01-01-2016,,Gwali,Syaldey
लक्ष्मी फर्त्याल,किशन,23-10-2011,,Naidhol,Takula
सरस्वती फर्त्याल,कैलाश सिंह फर्त्याल,01-01-2027,,Faldwari,Tarikhet
हरुली बोरा,ललित बोरा,03-04-2022,351287563146,Tana Sajoli,Takula
Riya Arya,,04-06-2010,,Magaro,
खष्टी रौतेला,हीरा,08-01-2007,,Bamanigar,Takula
ममता आर्य,नन्दन,16-11-2017,367651096829,Hatjhala,Chaukhutia
हेमा मेहता,अमित,06-02-2019,,Arjunrath,Takula
मीना नेगी,हीरा,01-01-2018,558115275015,Mawalgaon,Sult
Diya Negi,,03-10-2018,,Baigania,
मीना परिहार,भगवान,01-01-2019,,Qwerali,Dhauladevi
तुलसी,रोहित चन्द्र भट्ट,11-06-2018,,Aati,Dhauladevi
Mansi Tamta,,06-09-2009,,Chauda,
प्रियंका कोहली,भुवन लाल,25-09-2026,,Dadgaliya,Dwarahat
मालती मनराल,गणेश सिंह मनराल,01-01-2022,,Bhetabadoli,Dhauladevi
नन्दी नेगी,सुरेश सिंह,01-01-2004,,Kafalta,Sult
Anvi Bisht,,05-10-2023,,Jhijhad,
सरस्वती पाठक,राकेश,11-03-2020,855445142575,Manari,Tarikhet
पदमा आर्या,हेम आर्या,15-09-2025,,Ladholi,Dhauladevi
उर्मिला रावत,सुरेन्द्र रावत,01-01-2021,,Kharkhet,Tarikhet
दुर्गा रावत,खीम सिंह,26-03-2026,,Utraura Ghurdaura,Takula
भगवती,गणेश सिंह मेहता,21-06-2015,748254926866,Dadhuli,Bhikiasain
हेमा बोरा,रमेश सिंह बोरा,01-01-2023,,Dabhara Saural,Sult
मालती मेहरा,उदय सिंह मेहरा,04-11-2018,,Toli,Lamgara
पूजा टम्टा,मनीष टम्टा,18-02-2024,,Dhari,Hawalbag
राधा रावत,हरि रावत,06-01-2025,491194537630,Bamanigar,Takula
कमला बिष्ट,सुन्दर सिंह बिष्ट,01-01-2014,967115277947,Pubhao,Lamgara
ज्योति,शंकर तिवारी,26-10-2022,,Biral Gaon,Sult
दीपिका खाती,राकेश,09-06-2017,,Kotyura Masi,Chaukhutia
ज्योति बिष्ट,पंकज सिंह,06-05-2023,394865087157,Pinakot,Sult
प्रियंका कर्नाटक,सुन्दर कर्नाटक,30-09-2014,,Bhiyadi,Sult
Diya Negi,,20-04-2016,,Naini-2,
लक्ष्मी लोहनी,राजेन्द्र चन्द्र लोहनी,24-07-2019,,Buruspani,Syaldey
किरन,सुरेन्द्र नेगी,01-01-2010,970466860006,Seema,Chaukhutia
अनीता लोहनी,भुवन दत्त लोनही,19-09-2015,,Khira,Chaukhutia
प्रियंका आर्या,हीरा आर्या,11-06-2019,383628436358,Bhetuli,Takula
शान्ति,बलवन्त बिष्ट,03-05-2025,225630624778,Chanch,Sult
जानकी पाण्डे,रोहित,01-01-2016,,Sela,Dhauladevi
भगवती,कुनद्न सिंह बिष्ट,19-05-2005,,Sunadi,Takula
Anvi Negi,,08-11-2016,,Kalaun,
पार्वती जोशी,कैलाश दत्त,19-03-2013,890704940735,Kafaltana,Syaldey
सीता नेगी,रुवीर सिंह,24-02-2019,,Buruspani,Syaldey
नीमा,मनीष लाल,01-01-2015,646133458644,Chanuli,Bhikiasain
कौशल्या डसीला,बलवन्त सिंह डसीला,24-12-2018,380581605871,Ira,Tarikhet
हेमा जीना,पंकज सिंह जीना,25-03-2022,,Barsimi,Hawalbag
खष्टी फर्त्याल,रघुवीर सिंह फर्त्याल,04-03-2023,,Amkholi,Takula
Anvi Bisht,,07-08-2014,,Damar,
पूजा बिष्ट,लक्ष्मण बिष्ट,31-07-2015,,Surkhal,Lamgara
गोविन्दी फर्त्याल,मदन सिंह फर्त्याल,16-05-2003,,Aanuli,Lamgara
पदमा पाण्डे,त्रिलोक पाण्डे,17-12-2024,,Bhasi Kaflani,Bhikiasain
ज्योति जीना,दिनेश सिंह,06-09-2026,,Aanuli,Lamgara
कौशल्या पन्त,भगवान पन्त,01-01-2019,,Balta,Hawalbag
धनुली आर्य,सुरेश राम आर्य,01-01-2023,,Devayal,Sult
गंगा नेगी,विकास सिंह नेगी,11-04-2026,426266804338,Rupanauli,Bhikiasain
Kritika Negi,,12-04-2025,,Chitaili,
खष्टी कनवाल,विनोद सिंह,01-01-2009,757202325609,Ghaspad,Dhauladevi
तुलसी आर्य,भरत लाल आर्य,15-03-2015,,Malad,Dhauladevi
Kritika Tamta,,13-04-2013,,Patharkot,
भागीरथी कनवाल,उदय सिंह कनवाल,13-05-2011,848944852339,Natadol,Lamgara
विमला आर्य,त्रिलोक,09-02-2012,,Gumti,Syaldey
कविता नेगी,दीवान सिंह नेगी,07-09-2025,,Barakot,Lamgara
पुष्पा कोहली,जीवन कोहली,31-12-2022,,Saula-I,Tarikhet
धनुली आर्य,जगदीश आर्य,08-06-2021,,Nayal,Dhauladevi
Riya Tamta,,26-09-2021,,Masar,
ममता पाण्डे,गणेश दत्त पाण्डे,01-02-2009,446772211040,Gurna,Hawalbag
जानकी आर्य,हीरा लाल,20-07-2023,330108688640,Thapaniya,Hawalbag
नन्दी कनवाल,नारायण सिंह कनवाल,12-03-2011,,Saraikhet,Syaldey
हंसी रावत,अमित रावत,16-02-2022,788148969718,Saukhati,Sult
भागीरथी नेगी,हेम सिंह,26-02-1997,,Ujyaula,Lamgara
दीपा फर्त्याल,दयाल फर्त्याल,10-08-1995,858146481347,Duni,Tarikhet
सरस्वती डसीला,धर्म डसीला,12-05-2025,517498519537,Petshal,Bhaisiachhana
तुलसी कोहली,शिव राम कोहली,01-05-2022,,Naugaon2,Tarikhet
नीमा भण्डारी,भरत भण्डारी,25-07-2023,,Newalgaon-2,Sult
लक्ष्मी नेगी,शिव सिंह नेगी,05-05-2017,963721709019,Kafali,Dhauladevi
Diya Tamta,,10-11-2023,,Gumti,
खष्टी भण्डारी,मनोज सिंह भण्डारी,01-01-2015,,Qwerali,Takula
नीमा कोहली,मोती लाल कोहली,18-10-2025,,Hauli,Bhikiasain
गंगा कार्की,शंकर कार्की,21-04-2024,,Gangoda,Tarikhet
गंगा टम्टा,लक्ष्मण लाल,26-09-2021,748447067656,Dhaulara,Takula
हरुली मठपाल,मनीष,19-07-2021,,Gairar Talla,Dhauladevi
पार्वती बोरा,गिरीश सिंह,20-04-2018,353320509353,Sunoli,Takula
Kritika Negi,,13-11-2010,,Kujyadi,
हंसी फर्त्याल,राकेश सिंह,01-01-2022,,Valna,Tarikhet
कौशल्या टम्टा,हरीश लाल,01-01-2022,767413022966,Bamaura,Sult
Tanvi Bisht,,12-10-2009,,Khatyari,
Tanvi Arya,,05-01-2009,,Baigniya,
Riya Negi,,20-07-2013,,Ghaghli,
किरन आर्य,सुरेन्द्र राम,19-10-2023,789298540172,Jigolitoli,Dhauladevi
Mansi Pant,,02-11-2011,,Uparadi,
Diya Joshi,,26-11-2011,,Kokilagaon,
मालती तिवारी,त्रिलोक तिवारी,30-04-2019,,Chauna,Chaukhutia
लक्ष्मी कोहली,गणेश कोहली,31-08-2011,877595345189,Sukna,Dhauladevi
Aarohi Joshi,,07-05-2025,,Syutara,
मंजू रावत,पंकज सिंह रावत,25-03-2017,317106892272,Jingal,Bhaisiachhana
अनीता कार्की,खीम सिंह कार्की,01-01-2021,327137140636,Dungri,Sult
बसन्ती कोहली,विकास लाल,15-03-2019,327666161859,Digaut,Chaukhutia
Riya Pant,,15-08-2024,,Timili,
सरस्वती रावत,लक्ष्मण सिंह रावत,05-02-2021,,Palyuda,Takula
दीपिका मठपाल,महेन्द्र,17-07-2024,,Dumna,Bhikiasain
मीना भण्डारी,राजेन्द्र सिंह भण्डारी,03-08-2007,,Manari,Tarikhet
नन्दी मेहरा,चन्द्रशेखर सिंह मेहरा,15-08-2022,,Jyoli Silang,Hawalbag
तारा,गिरीश दत्त मठपाल,05-06-2022,,Nayoni,Chaukhutia
पुष्पा काण्डपाल,हरीश काण्डपाल,23-11-2003,,Gwalbina,Syaldey
हंसी कार्की,भूपाल सिंह,03-06-2019,,Selta Chapar,Lamgara
तारा भण्डारी,हरीश भण्डारी,01-01-2022,679280580951,Trineli,Bhaisiachhana
Kritika Tamta,,28-02-2017,,Taradi,
Anvi Tamta,,21-10-2010,,Malli Mirai,
Anvi Joshi,,05-12-2016,,Manela,
Tanvi Joshi,,05-12-2009,,Bhanarath,
Diya Negi,,07-09-2024,,Seema,
रेखा नेगी,मदन,03-12-2017,,Talli Mirai,Dwarahat
Tanvi Joshi,,05-07-2017,,Uroli,
Diya Pant,,22-06-2009,,Mauna,
Tanvi Arya,,16-11-2020,,Utraura Ghurdaura,
कमला मेहता,पंकजसिंह,13-07-2010,,Malaunj,Takula
उर्मिला काण्डपाल,गणेश दत्त काण्डपाल,06-06-2000,926281922178,Tana,Tarikhet
कविता कोहली,चन्द्रशेखर राम कोहली,20-10-2010,,Tadaini,Lamgara
तारा भट्ट,विनोद भट्ट,21-04-2004,348261417261,Khatal Gaon,Sult
Kritika Negi,,20-02-2024,,Gadholi,
इन्द्रा टम्टा,जीवन लाल टम्टा,17-12-2025,971462003497,Kapkot,Lamgara
आनन्दी बिष्ट,उदय बिष्ट,15-05-2008,831412971880,Chamyadi,Syaldey
सरस्वती मेहता,विकास सिंह मेहता,01-01-2025,462396985325,Panuwadhokhan,Sult
मीना आर्य,नन्दन,21-07-1991,,Ujyaula,Lamgara
मंजू बिष्ट,त्रिलोक सिंह,18-05-2026,476341301939,Jainoli,Tarikhet
पदमा,राजेन्द्र,10-09-2023,552466915418,Nainwalpali,Sult
Anvi Joshi,,07-08-2009,,Thakuladi,
पदमा काण्डपाल,धर्म चन्द्र,28-04-2020,,Rolyanagunth,Takula
Aarohi Arya,,19-11-2015,,Bhet,
Tanvi Tamta,,05-07-2015,,Dhunga,
Kritika Arya,,02-02-2009,,Naidhol,
Mansi Arya,,06-05-2018,,Bunga,
मालती,हरीश रावत,05-10-2018,,Idasera,Dwarahat
पार्वती नेगी,दीवान सिंह नेगी,01-01-2001,,Naini-1,Dwarahat
Anvi Tamta,,20-06-2023,,Mohana,
बीना कनवाल,किशन सिंह कनवाल,20-08-1995,424183023196,Chamyadi,Syaldey
Anvi Bisht,,03-07-2022,,Khaikatta,
तारा आर्य,चन्द्रशेखर लाल,01-01-2006,663788444315,Khatyari,Hawalbag
पार्वती मनराल,शिव सिंह मनराल,05-07-2020,,Titoli,Sult
सरस्वती रौतेला,नारायण रौतेला,01-03-2016,629847139706,Darimi,Lamgara
